0xdf0,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,HP Modifier,Strength Modifier,Magic Modifer,Skill Modifier,Speed Modifier,Luck Modifier,Defense Modifier,Resistance Modifier,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,##UNKNOWN##
Kureha,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26d97,0x0,0x2b11e,0x2c51b,0x2c4e9,0xa538,0xa628,0x87,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xa9,0xa9,0xa9,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Sango,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26da6,0x0,0x2b0fb,0x2c52b,0x2c4e9,0xa538,0xa628,0x88,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xab,0xab,0xab,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Himawari,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26db5,0x0,0x2b11e,0x2c53b,0x2c4e9,0xa538,0xa628,0x89,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xae,0xae,0xae,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kogane,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26dc4,0x0,0x2b0fb,0x2c54b,0x2c4e9,0xa538,0xa628,0x8a,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xaf,0xaf,0xaf,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Ai,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26dd3,0x0,0x2b11e,0x2c55b,0x2c4e9,0xa538,0xa628,0x8b,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb0,0xb0,0xb0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Tetsu,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26de2,0x0,0x2b0fb,0x2c56b,0x2c4e9,0xa538,0xa628,0x8c,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb1,0xb1,0xb1,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Tokiwa,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26df1,0x0,0x2b11e,0x2c57b,0x2c4e9,0xa538,0xa628,0x8d,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb2,0xb2,0xb2,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Suzaku,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e00,0x0,0x2b0fb,0x2c58b,0x2c4e9,0xa538,0xa628,0x8e,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb4,0xb4,0xb4,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Chigusa,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e0f,0x0,0x2b11e,0x2c59b,0x2c4e9,0xa538,0xa628,0x8f,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb6,0xb6,0xb6,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Renga,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e1e,0x0,0x2b0fb,0x2c5ab,0x2c4e9,0xa538,0xa628,0x90,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb7,0xb7,0xb7,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Moegi,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e2d,0x0,0x2b11e,0x2c5bb,0x2c4e9,0xa538,0xa628,0x91,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xb3,0xb3,0xb3,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kohaku,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e3c,0x0,0x2b0fb,0x2c5cb,0x2c4e9,0xa538,0xa628,0x92,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x4,0x4,0x4,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Murasaki,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e4b,0x0,0x2b11e,0x2c5db,0x2c4e9,0xa538,0xa628,0x93,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x6b,0x6b,0x6b,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Momotaro,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e5a,0x0,0x2b0fb,0x2c5eb,0x2c4e9,0xa538,0xa628,0x94,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x4f,0x4f,0x4f,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Sumire,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e69,0x0,0x2b11e,0x2c5fb,0x2c4e9,0xa538,0xa628,0x95,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x1b,0x1b,0x1b,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Rusty,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e78,0x0,0x2b0fb,0x2c60b,0x2c4e9,0xa538,0xa628,0x96,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xba,0xba,0xba,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Amber,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e87,0x0,0x2b11e,0x2c61b,0x2c4e9,0xa538,0xa628,0x97,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc0,0xc0,0xc0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Auburn,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26e96,0x0,0x2b0fb,0x2c62b,0x2c4e9,0xa538,0xa628,0x98,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xbb,0xbb,0xbb,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Coral,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26ea5,0x0,0x2b11e,0x2c63b,0x2c4e9,0xa538,0xa628,0x99,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xbc,0xbc,0xbc,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Hunter,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26eb4,0x0,0x2b0fb,0x2c64b,0x2c4e9,0xa538,0xa628,0x9a,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xbd,0xbd,0xbd,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Hazel,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26ec3,0x0,0x2b11e,0x2c65b,0x2c4e9,0xa538,0xa628,0x9b,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xbf,0xbf,0xbf,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Cyan,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26ed2,0x0,0x2b0fb,0x2c66b,0x2c4e9,0xa538,0xa628,0x9c,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc1,0xc1,0xc1,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Fuchsia,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26ee1,0x0,0x2b11e,0x2c67b,0x2c4e9,0xa538,0xa628,0x9d,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc2,0xc2,0xc2,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Jett,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26ef0,0x0,0x2b0fb,0x2c68b,0x2c4e9,0xa538,0xa628,0x9e,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc3,0xc3,0xc3,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Olive,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26eff,0x0,0x2b11e,0x2c69b,0x2c4e9,0xa538,0xa628,0x9f,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc4,0xc4,0xc4,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Slate,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f0e,0x0,0x2b0fb,0x2c6ab,0x2c4e9,0xa538,0xa628,0xa0,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc5,0xc5,0xc5,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Violet,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f1d,0x0,0x2b11e,0x2c6bb,0x2c4e9,0xa538,0xa628,0xa1,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc7,0xc7,0xc7,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Sterling,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f2c,0x0,0x2b0fb,0x2c6cb,0x2c4e9,0xa538,0xa628,0xa2,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc8,0xc8,0xc8,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Ruby,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f3b,0x0,0x2b11e,0x2c6db,0x2c4e9,0xa538,0xa628,0xa3,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xc9,0xc9,0xc9,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Tanner,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f4a,0x0,0x2b0fb,0x2c6eb,0x2c4e9,0xa538,0xa628,0xa4,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x6,0x6,0x6,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kelly,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f59,0x0,0x2b11e,0x2c6fb,0x2c4e9,0xa538,0xa628,0xa5,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x55,0x55,0x55,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Teale,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f68,0x0,0x2b0fb,0x2c70b,0x2c4e9,0xa538,0xa628,0xa6,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x51,0x51,0x51,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Magenta,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f77,0x0,0x2b11e,0x2c71b,0x2c4e9,0xa538,0xa628,0xa7,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x1e,0x1e,0x1e,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Naoki,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f86,0x0,0x2b0fb,0x2c72b,0x2c4e9,0xa538,0xa628,0xa8,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xa5,0xa5,0xa5,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Shizuku,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26f95,0x0,0x2b11e,0x2c73b,0x2c4e9,0xa538,0xa628,0xa9,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xaa,0xaa,0xaa,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kaito,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26fa4,0x0,0x2b0fb,0x2c74b,0x2c4e9,0xa538,0xa628,0xaa,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xce,0xce,0xce,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Wakaba,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26fb3,0x0,0x2b11e,0x2c75b,0x2c4e9,0xa538,0xa628,0xab,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0xca,0xca,0xca,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Yukio,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26fc2,0x0,0x2b0fb,0x2c76b,0x2c4e9,0xa538,0xa628,0xac,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x1,0x1,0x1,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Ibuki,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26fd1,0x0,0x2b11e,0x2c77b,0x2c4e9,0xa538,0xa628,0xad,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x2,0x2,0x2,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Riku,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26fe0,0x0,0x2b0fb,0x2c78b,0x2c4e9,0xa538,0xa628,0xae,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x3,0x3,0x3,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Hibari,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26fef,0x0,0x2b11e,0x2c79b,0x2c4e9,0xa538,0xa628,0xaf,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x7,0x7,0x7,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Minato,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x26ffe,0x0,0x2b0fb,0x2c7ab,0x2c4e9,0xa538,0xa628,0xb0,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x8,0x8,0x8,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Aspen,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2700d,0x0,0x2b11e,0x2c7bb,0x2c4e9,0xa538,0xa628,0xb1,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x14,0x14,0x14,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Cypress,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2701c,0x0,0x2b0fb,0x2c7cb,0x2c4e9,0xa538,0xa628,0xb2,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x6d,0x6d,0x6d,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Daisy,0x1,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2702b,0x0,0x2b11e,0x2c7db,0x2c4e9,0xa538,0xa628,0xb3,0x0,0x2,0x0,0x0,0x4,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x56,0x56,0x56,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Thorn,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0x2703a,0x0,0x2b0fb,0x2c7eb,0x2c4e9,0xa538,0xa628,0xb4,0x0,0x2,0x0,0x0,0x3,0x0,0xffff,1,-1,1,0x0,2,0,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x49,0x49,0x49,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
